Accession.trimmed,Gene.Symbol
P20594,ANPRB
P17342,ANPRC
Q9NXR5,ANR10
Q6UB99,ANR11
Q6UB98,ANR12
Q6P6B7,ANR16
O75179,ANR17
Q9H560,ANR19
Q5VYY1,ANR22
Q86SG2,ANR23
Q8TF21,ANR24
Q9UPS8,ANR26
Q96NW4,ANR27
O15084,ANR28
Q8N6D5,ANR29
Q8N7Z5,ANR31
Q8N283,ANR35
Q7Z713,ANR37
Q53RE8,ANR39
Q6AI12,ANR40
Q8N9B4,ANR42
Q8N8A2,ANR44
Q5TZF3,ANR45
Q86W74,ANR46
Q8WVL7,ANR49
Q9ULJ7,ANR50
Q8NB46,ANR52
Q8N9V6,ANR53
Q6NXT1,ANR54
Q3KP44,ANR55
Q9BZ19,ANR60
A6NGH8,ANR61
A6NC57,ANR62
C9JTQ0,ANR63
E5RJM6,ANR65
B4E2M5,ANR66
Q9H9E1,ANRA2
Q92625,ANS1A
Q7Z6G8,ANS1B
Q8N8V4,ANS4B
P01008,ANT3
Q9H6X2,ANTR1
P58335,ANTR2
A6NF34,ANTRL
Q9UJ72,ANX10
P50995,ANX11
P27216,ANX13
P04083,ANXA1
P07355,ANXA2
P12429,ANXA3
P09525,ANXA4
P08758,ANXA5
P08133,ANXA6
P20073,ANXA7
P13928,ANXA8
O76027,ANXA9
P28039,AOAH
P19801,AOC1
O75106,AOC2
Q16853,AOC3
P21397,AOFA
P27338,AOFB
Q06278,AOXA
O60641,AP180
Q63HQ0,AP1AR
Q10567,AP1B1
O43747,AP1G1
O75843,AP1G2
Q9BXS5,AP1M1
Q9Y6Q5,AP1M2
P61966,AP1S1
P56377,AP1S2
Q96PC3,AP1S3
O95782,AP2A1
O94973,AP2A2
P05549,AP2A
P63010,AP2B1
Q92481,AP2B
Q92754,AP2C
Q7Z6R9,AP2D
Q6VUC0,AP2E
Q96CW1,AP2M1
P53680,AP2S1
O00203,AP3B1
Q13367,AP3B2
O14617,AP3D1
Q9Y2T2,AP3M1
P53677,AP3M2
Q92572,AP3S1
P59780,AP3S2
Q96N21,AP4AT
P50583,AP4A
Q9Y6B7,AP4B1
Q9UPM8,AP4E1
O00189,AP4M1
Q9Y587,AP4S1
Q2VPB7,AP5B1
Q9H0R1,AP5M1
Q9NUS5,AP5S1
O43299,AP5Z1
O14727,APAF
Q02410,APBA1
Q99767,APBA2
O96018,APBA3
O00213,APBB1
Q92870,APBB2
O95704,APBB3
Q92624,APBP2
Q9UM13,APC10
Q9NYG5,APC11
Q9BS18,APC13
P60006,APC15
Q96DE5,APC16
Q9H1A4,APC1
Q9UJX5,APC4
Q9UJX4,APC5
Q9UJX3,APC7
Q8J025,APCD1
Q8NCL9,APCDL
O95996,APCL
P25054,APC
Q9ULZ1,APEL
P27695,APEX1
Q9UBZ4,APEX2
Q96BI3,APH1A
Q8WW43,APH1B
Q9BZZ5,API5
P35414,APJ
Q96LR9,APLD1
Q8IW19,APLF
P51693,APLP1
Q06481,APLP2
Q9HDC9,APMAP
P02647,APOA1
P02652,APOA2
P06727,APOA4
Q6Q788,APOA5
P08519,APOA
Q0VD83,APOBR
P04114,APOB
P02654,APOC1
P02655,APOC2
P02656,APOC3
P55056,APOC4
P05090,APOD
P02649,APOE
Q13790,APOF
P02749,APOH
O14791,APOL1
Q9BQE5,APOL2
O95236,APOL3
Q9BPW4,APOL4
Q9BWW9,APOL5
Q9BWW8,APOL6
O95445,APOM
Q96IL0,APOP1
Q8IVJ8,APRG1
F7VJQ1,APRIO
Q53RT3,APRV1
Q13794,APR
Q7Z2E3,APTX
P07741,APT
Q8IXF9,AQ12A
A6NM10,AQ12B
Q96PS8,AQP10
Q8NBQ7,AQP11
P29972,AQP1
P41181,AQP2
Q92482,AQP3
P55087,AQP4
P55064,AQP5
Q13520,AQP6
A6NL99,AQP73
O14520,AQP7
O94778,AQP8
O43315,AQP9
O60306,AQR
Q5H913,AR13A
Q3SXY8,AR13B
Q6NSI1,AR26L
Q9Y2Y0,AR2BP
Q15041,AR6P1
Q66PJ3,AR6P4
Q8N6S5,AR6P6
P10398,ARAF
Q6UW56,ARAID
Q96P48,ARAP1
Q8WZ64,ARAP2
Q8WWN8,ARAP3
Q96IT6,ARAS1
P25098,ARBK1
P35626,ARBK2
Q92747,ARC1A
O15143,ARC1B
Q8IWT0,ARCH
Q7LC44,ARC
P15514,AREG
O15033,AREL1
P84077,ARF1
P61204,ARF3
P18085,ARF4
P84085,ARF5
P62330,ARF6
Q8N6T3,ARFG1
Q8N6H7,ARFG2
Q9NP61,ARFG3
P53367,ARFP1
P53365,ARFP2
Q13795,ARFRP
Q8N726,ARF
Q8N1W1,ARG28
A8MVX0,ARG33
A5YM69,ARG35
Q8N4T4,ARG39
Q9HCE6,ARGAL
A6NJG6,ARGFX
P05089,ARGI1
P78540,ARGI2
Q9NWB6,ARGL1
A1IGU5,ARH37
Q9NXL2,ARH38
Q8TER5,ARH40
Q92888,ARHG1
Q92974,ARHG2
Q9NR81,ARHG3
Q9NR80,ARHG4
Q12774,ARHG5
Q15052,ARHG6
Q14155,ARHG7
Q7Z628,ARHG8
